Country Code,IMF Country Code,Country,Indicator Type,Series Name,2016,2017,2018,2019,2020,2021,2022,Note
IDN,536,Indonesia,Inflation,Headline Consumer Price Inflation,3.53,3.81,3.2,2.82,1.92,1.56,4.21,Annual average inflation
IND,534,India,Inflation,Headline Consumer Price Inflation,4.94,3.6,4.86,4.76,6.62,4.89,6.69,Annual average inflation
IRL,178,Ireland,Inflation,Headline Consumer Price Inflation,0.01,0.25,0.49,0.88,-0.33,2.36,7.8,Annual average inflation
IRN,429,"Iran, Islamic Rep.",Inflation,Headline Consumer Price Inflation,7.26,9.64,17.95,41.02,36.5,43.39,42.44,Annual average inflation
IRQ,433,Iraq,Inflation,Headline Consumer Price Inflation,0.52,0.1,0.63,-0.2,0.57,6.04,5.14,Annual average inflation
ISL,176,Iceland,Inflation,Headline Consumer Price Inflation,1.7,1.76,2.68,3.01,2.85,4.44,8.3,Annual average inflation
ISR,436,Israel,Inflation,Headline Consumer Price Inflation,-0.54,0.24,0.81,0.84,-0.59,1.49,4.4,Annual average inflation
ITA,136,Italy,Inflation,Headline Consumer Price Inflation,-0.09,1.33,1.14,0.63,-0.14,1.87,8.2,Annual average inflation
JAM,343,Jamaica,Inflation,Headline Consumer Price Inflation,2.35,4.38,3.73,3.91,5.23,5.86,10.35,Annual average inflation
JOR,439,Jordan,Inflation,Headline Consumer Price Inflation,-0.78,3.32,4.46,0.68,0.33,1.35,4.23,Annual average inflation
JPN,158,Japan,Inflation,Headline Consumer Price Inflation,-0.12,0.47,0.98,0.48,-0.02,-0.23,2.5,Annual average inflation
KAZ,916,Kazakhstan,Inflation,Headline Consumer Price Inflation,14.59,7.43,6.02,5.24,6.75,8,14.99,Annual average inflation
KEN,664,Kenya,Inflation,Headline Consumer Price Inflation,6.33,7.99,4.69,5.2,5.4,6.11,7.66,Annual average inflation
KGZ,917,Kyrgyz Republic,Inflation,Headline Consumer Price Inflation,0.39,3.18,1.54,1.14,6.33,11.91,13.92,Annual average inflation
KHM,522,Cambodia,Inflation,Headline Consumer Price Inflation,3.02,2.91,2.39,2.01,2.94,2.92,6.07,Annual average inflation
KIR,826,Kiribati,Inflation,Headline Consumer Price Inflation,1.92,0.36,0.59,-1.88,2.48,3,5.6,Annual average inflation
KNA,361,St. Kitts and Nevis,Inflation,Headline Consumer Price Inflation,-0.34,0,-0.23,-0.18,-0.59,0.2,3.78,Annual average inflation
KOR,542,"Korea, Rep.",Inflation,Headline Consumer Price Inflation,0.97,1.94,1.48,0.38,0.54,2.5,5.09,Annual average inflation
KWT,443,Kuwait,Inflation,Headline Consumer Price Inflation,2.96,1.51,0.57,1.1,1,3.42,3.98,Annual average inflation
LAO,544,Lao PDR,Inflation,Headline Consumer Price Inflation,1.6,0.66,2.03,3.32,5.13,3.76,22.96,Annual average inflation
LBN,446,Lebanon,Inflation,Headline Consumer Price Inflation,-0.82,4.48,6.07,2.89,84.86,154.76,171.2,Annual average inflation
LBR,668,Liberia,Inflation,Headline Consumer Price Inflation,8.84,12.44,23.56,26.97,11.89,7.82,6.91,Annual average inflation
LBY,672,Libya,Inflation,Headline Consumer Price Inflation,25.88,28.47,-1.2,4.56,22.26,2.77,5.52,Annual average inflation
LCA,362,St. Lucia,Inflation,Headline Consumer Price Inflation,-3.09,0.11,1.99,0.54,0.34,2.38,6.4,Annual average inflation
LKA,524,Sri Lanka,Inflation,Headline Consumer Price Inflation,3.97,6.58,2.14,4.3,6.15,7.01,50.43,Annual average inflation
LSO,666,Lesotho,Inflation,Headline Consumer Price Inflation,6.21,4.46,4.01,5.19,4.98,6.05,8.31,Annual average inflation
LTU,946,Lithuania,Inflation,Headline Consumer Price Inflation,0.91,3.72,2.7,2.24,1.2,4.68,19.7,Annual average inflation
LUX,137,Luxembourg,Inflation,Headline Consumer Price Inflation,0.29,2.11,1.53,1.65,0.82,2.53,6.3,Annual average inflation
LVA,941,Latvia,Inflation,Headline Consumer Price Inflation,0.14,2.89,2.53,2.75,0.22,3.28,17.3,Annual average inflation
MAC,546,"Macao SAR, China",Inflation,Headline Consumer Price Inflation,2.37,1.23,3,2.75,0.81,0.03,1.05,Annual average inflation
MAR,686,Morocco,Inflation,Headline Consumer Price Inflation,1.65,0.75,1.79,0.24,0.71,1.4,6.66,Annual average inflation
MDA,921,Moldova,Inflation,Headline Consumer Price Inflation,6.38,6.58,3.05,4.85,3.77,5.11,28.74,Annual average inflation
MDG,674,Madagascar,Inflation,Headline Consumer Price Inflation,6.66,8.28,7.29,5.62,4.2,5.82,9.8,Annual average inflation
MDV,556,Maldives,Inflation,Headline Consumer Price Inflation,0.8,2.27,1.37,1.31,-1.37,0.54,2.18,Annual average inflation
MEX,273,Mexico,Inflation,Headline Consumer Price Inflation,2.82,6.04,4.9,3.63,3.4,5.69,7.9,Annual average inflation
MHL,867,Marshall Islands,Inflation,Headline Consumer Price Inflation,-1.51,0.03,0.76,1.2,0.61,2.61,6.4,Annual average inflation
MKD,962,"Macedonia, FYR",Inflation,Headline Consumer Price Inflation,-0.23,1.35,1.46,0.77,1.2,3.23,14.2,Annual average inflation
MLI,678,Mali,Inflation,Headline Consumer Price Inflation,-1.8,1.76,1.73,-2.89,0.44,3.93,9.99,Annual average inflation
